 time            v(Ain)          v(COMPout)     
 6.00950000e-06  5.15625000e-01  1.76680172e-02 
 6.01050000e-06  5.15625000e-01  1.76678152e-02 
 6.01150000e-06  5.15625000e-01  1.76675948e-02 
 6.01250000e-06  5.15625000e-01  1.76673928e-02 
 6.01350000e-06  5.15625000e-01  1.76671726e-02 
 6.01450000e-06  5.15625000e-01  1.76669708e-02 
 6.01550000e-06  5.15625000e-01  1.76667506e-02 
 6.01650000e-06  5.15625000e-01  1.76665490e-02 
 6.01750000e-06  5.15625000e-01  1.76663290e-02 
 6.01850000e-06  5.15625000e-01  1.76661275e-02 
 6.01950000e-06  5.15625000e-01  1.76659076e-02 
 6.02050000e-06  5.15625000e-01  1.76657062e-02 
 6.02150000e-06  5.15625000e-01  1.76654864e-02 
 6.02250000e-06  5.15625000e-01  1.76652852e-02 
 6.02350000e-06  5.15625000e-01  1.76650656e-02 
 6.02450000e-06  5.15625000e-01  1.76648645e-02 
 6.02550000e-06  5.15625000e-01  1.76646450e-02 
 6.02650000e-06  5.15625000e-01  1.76644441e-02 
 6.02750000e-06  5.15625000e-01  1.76642247e-02 
 6.02850000e-06  5.15625000e-01  1.76640239e-02 
 6.02950000e-06  5.15625000e-01  1.76638046e-02 
 6.03050000e-06  5.15625000e-01  1.76636040e-02 
 6.03150000e-06  5.15625000e-01  1.76633848e-02 
 6.03250000e-06  5.15625000e-01  1.76631843e-02 
 6.03350000e-06  5.15625000e-01  1.76629653e-02 
 6.03450000e-06  5.15625000e-01  1.76627649e-02 
 6.03550000e-06  5.15625000e-01  1.76625460e-02 
 6.03650000e-06  5.15625000e-01  1.76623458e-02 
 6.03750000e-06  5.15625000e-01  1.76621270e-02 
 6.03850000e-06  5.15625000e-01  1.76619269e-02 
 6.03950000e-06  5.15625000e-01  1.76617082e-02 
 6.04050000e-06  5.15625000e-01  1.76615083e-02 
 6.04150000e-06  5.15625000e-01  1.76612898e-02 
 6.04250000e-06  5.15625000e-01  1.76610900e-02 
 6.04350000e-06  5.15625000e-01  1.76608716e-02 
 6.04450000e-06  5.15625000e-01  1.76606719e-02 
 6.04550000e-06  5.15625000e-01  1.76604536e-02 
 6.04650000e-06  5.15625000e-01  1.76602541e-02 
 6.04750000e-06  5.15625000e-01  1.76600359e-02 
 6.04850000e-06  5.15625000e-01  1.76598366e-02 
 6.04950000e-06  5.15625000e-01  1.76596185e-02 
 6.05050000e-06  5.15625000e-01  1.76594193e-02 
 6.05150000e-06  5.15625000e-01  1.76592013e-02 
 6.05250000e-06  5.15625000e-01  1.76590023e-02 
 6.05350000e-06  5.15625000e-01  1.76587844e-02 
 6.05450000e-06  5.15625000e-01  1.76585855e-02 
 6.05550000e-06  5.15625000e-01  1.76583678e-02 
 6.05650000e-06  5.15625000e-01  1.76581690e-02 
 6.05750000e-06  5.15625000e-01  1.76579514e-02 
 6.05850000e-06  5.15625000e-01  1.76577528e-02 
 6.05950000e-06  5.15625000e-01  1.76575353e-02 
 6.06050000e-06  5.15625000e-01  1.76573368e-02 
 6.06150000e-06  5.15625000e-01  1.76571194e-02 
 6.06250000e-06  5.15625000e-01  1.76569211e-02 
 6.06350000e-06  5.15625000e-01  1.76567038e-02 
 6.06450000e-06  5.15625000e-01  1.76565056e-02 
 6.06550000e-06  5.15625000e-01  1.76562885e-02 
 6.06650000e-06  5.15625000e-01  1.76560904e-02 
 6.06750000e-06  5.15625000e-01  1.76558734e-02 
 6.06850000e-06  5.15625000e-01  1.76556755e-02 
 6.06950000e-06  5.15625000e-01  1.76554586e-02 
 6.07050000e-06  5.15625000e-01  1.76552608e-02 
 6.07150000e-06  5.15625000e-01  1.76550441e-02 
 6.07250000e-06  5.15625000e-01  1.76548464e-02 
 6.07350000e-06  5.15625000e-01  1.76546298e-02 
 6.07450000e-06  5.15625000e-01  1.76544322e-02 
 6.07550000e-06  5.15625000e-01  1.76542157e-02 
 6.07650000e-06  5.15625000e-01  1.76540183e-02 
 6.07750000e-06  5.15625000e-01  1.76538020e-02 
 6.07850000e-06  5.15625000e-01  1.76536047e-02 
 6.07950000e-06  5.15625000e-01  1.76533884e-02 
 6.08050000e-06  5.15625000e-01  1.76531913e-02 
 6.08150000e-06  5.15625000e-01  1.76529752e-02 
 6.08250000e-06  5.15625000e-01  1.76527782e-02 
 6.08350000e-06  5.15625000e-01  1.76525622e-02 
 6.08450000e-06  5.15625000e-01  1.76523653e-02 
 6.08550000e-06  5.15625000e-01  1.76521494e-02 
 6.08650000e-06  5.15625000e-01  1.76519527e-02 
 6.08750000e-06  5.15625000e-01  1.76517369e-02 
 6.08850000e-06  5.15625000e-01  1.76515404e-02 
 6.08950000e-06  5.15625000e-01  1.76513247e-02 
 6.09050000e-06  5.15625000e-01  1.76511283e-02 
 6.09150000e-06  5.15625000e-01  1.76509127e-02 
 6.09250000e-06  5.15625000e-01  1.76507164e-02 
 6.09350000e-06  5.15625000e-01  1.76505010e-02 
 6.09450000e-06  5.15625000e-01  1.76503048e-02 
 6.09550000e-06  5.15625000e-01  1.76500895e-02 
 6.09650000e-06  5.15625000e-01  1.76498935e-02 
 6.09750000e-06  5.15625000e-01  1.76496783e-02 
 6.09850000e-06  5.15625000e-01  1.76494824e-02 
 6.09950000e-06  5.15625000e-01  1.76492674e-02 
 6.10050000e-06  5.15625000e-01  1.76490716e-02 
 6.10150000e-06  5.15625000e-01  1.76488567e-02 
 6.10250000e-06  5.15625000e-01  1.76486610e-02 
 6.10350000e-06  5.15625000e-01  1.76484462e-02 
 6.10450000e-06  5.15625000e-01  1.76482507e-02 
 6.10550000e-06  5.15625000e-01  1.76480360e-02 
 6.10650000e-06  5.15625000e-01  1.76478406e-02 
 6.10750000e-06  5.15625000e-01  1.76476261e-02 
 6.10850000e-06  5.15625000e-01  1.76474308e-02 
 6.10950000e-06  5.15625000e-01  1.76472164e-02 
 6.11050000e-06  5.15625000e-01  1.76470213e-02 
 6.11150000e-06  5.15625000e-01  1.76468070e-02 
 6.11250000e-06  5.15625000e-01  1.76466120e-02 
 6.11350000e-06  5.15625000e-01  1.76463978e-02 
 6.11450000e-06  5.15625000e-01  1.76462029e-02 
 6.11550000e-06  5.15625000e-01  1.76459889e-02 
 6.11650000e-06  5.15625000e-01  1.76457941e-02 
 6.11750000e-06  5.15625000e-01  1.76455802e-02 
 6.11850000e-06  5.15625000e-01  1.76453856e-02 
 6.11950000e-06  5.15625000e-01  1.76451718e-02 
 6.12050000e-06  5.15625000e-01  1.76449773e-02 
 6.12150000e-06  5.15625000e-01  1.76447636e-02 
 6.12250000e-06  5.15625000e-01  1.76445693e-02 
 6.12350000e-06  5.15625000e-01  1.76443557e-02 
 6.12450000e-06  5.15625000e-01  1.76441615e-02 
 6.12550000e-06  5.15625000e-01  1.76439480e-02 
 6.12650000e-06  5.15625000e-01  1.76437539e-02 
 6.12750000e-06  5.15625000e-01  1.76435406e-02 
 6.12850000e-06  5.15625000e-01  1.76433467e-02 
 6.12950000e-06  5.15625000e-01  1.76431334e-02 
 6.13050000e-06  5.15625000e-01  1.76429396e-02 
 6.13150000e-06  5.15625000e-01  1.76427265e-02 
 6.13250000e-06  5.15625000e-01  1.76425328e-02 
 6.13350000e-06  5.15625000e-01  1.76423199e-02 
 6.13450000e-06  5.15625000e-01  1.76421263e-02 
 6.13550000e-06  5.15625000e-01  1.76419134e-02 
 6.13650000e-06  5.15625000e-01  1.76417200e-02 
 6.13750000e-06  5.15625000e-01  1.76415073e-02 
 6.13850000e-06  5.15625000e-01  1.76413140e-02 
 6.13950000e-06  5.15625000e-01  1.76411014e-02 
 6.14050000e-06  5.15625000e-01  1.76409082e-02 
 6.14150000e-06  5.15625000e-01  1.76406957e-02 
 6.14250000e-06  5.15625000e-01  1.76405027e-02 
 6.14350000e-06  5.15625000e-01  1.76402903e-02 
 6.14450000e-06  5.15625000e-01  1.76400974e-02 
 6.14550000e-06  5.15625000e-01  1.76398851e-02 
 6.14650000e-06  5.15625000e-01  1.76396923e-02 
