 time            v(D_latch)      v(D_latch_bar)  v(Aout)         v(sh_pos)       v(sh_neg)      
 7.30000000e-07  8.28415578e-01  8.27956939e-01  1.00203704e+00  1.01443755e+00  4.99999791e-01 
 7.50000000e-07  8.27931494e-01  8.28436895e-01  1.00200717e+00  1.01442278e+00  5.00000200e-01 
 7.70000000e-07  8.28463671e-01  8.27908514e-01  1.00202975e+00  1.01443034e+00  4.99999837e-01 
 7.90000000e-07  8.27878462e-01  8.28489938e-01  1.00200251e+00  1.01441357e+00  5.00000171e-01 
 8.10000000e-07  8.28521862e-01  8.27849938e-01  1.00202247e+00  1.01442341e+00  4.99999852e-01 
 8.30000000e-07  8.27814238e-01  8.28554073e-01  1.00199788e+00  1.01440423e+00  5.00000167e-01 
 8.50000000e-07  8.28592262e-01  8.27779066e-01  1.00201540e+00  1.01441681e+00  4.99999847e-01 
 8.70000000e-07  8.27736462e-01  8.28631621e-01  1.00199316e+00  1.01439471e+00  5.00000181e-01 
 8.90000000e-07  8.28677421e-01  8.27693301e-01  1.00200865e+00  1.01441060e+00  4.99999827e-01 
 9.10000000e-07  8.27642275e-01  8.28725385e-01  1.00198823e+00  1.01438494e+00  5.00000207e-01 
 9.30000000e-07  8.28780419e-01  8.27589490e-01  1.00200228e+00  1.01440484e+00  4.99999795e-01 
 9.50000000e-07  8.27528210e-01  8.28838750e-01  1.00198304e+00  1.01437486e+00  5.00000245e-01 
 9.70000000e-07  8.28904973e-01  8.27463815e-01  1.00199634e+00  1.01439959e+00  4.99999751e-01 
 9.90000000e-07  8.27390059e-01  8.28975800e-01  1.00197754e+00  1.01436437e+00  5.00000294e-01 
 1.01000000e-06  8.29055569e-01  8.27311640e-01  1.00199085e+00  1.01439493e+00  4.99999697e-01 
 1.03000000e-06  8.27222718e-01  8.29141461e-01  1.00197169e+00  1.01435335e+00  5.00000356e-01 
 1.05000000e-06  8.29237616e-01  8.27127338e-01  1.00198578e+00  1.01439093e+00  4.99999629e-01 
 1.07000000e-06  8.27019985e-01  8.29341672e-01  1.00196541e+00  1.01434163e+00  5.00000431e-01 
 1.09000000e-06  8.29457631e-01  8.26904073e-01  1.00198109e+00  1.01438763e+00  4.99999548e-01 
 1.11000000e-06  8.26774323e-01  8.29583583e-01  1.00195855e+00  1.01432891e+00  5.00000522e-01 
 1.13000000e-06  8.29723458e-01  8.26633531e-01  1.00197657e+00  1.01438494e+00  4.99999449e-01 
 1.15000000e-06  8.26476563e-01  8.29875801e-01  1.00195076e+00  1.01431471e+00  5.00000632e-01 
 1.17000000e-06  8.30044535e-01  8.26305592e-01  1.00197177e+00  1.01438251e+00  4.99999329e-01 
 1.19000000e-06  8.26115533e-01  8.30228668e-01  1.00194131e+00  1.01429807e+00  5.00000765e-01 
 1.21000000e-06  8.30432175e-01  8.25907908e-01  1.00197011e+00  1.01438430e+00  4.99999185e-01 
 1.23000000e-06  8.25677628e-01  8.30654600e-01  1.00193873e+00  1.01428813e+00  5.00000926e-01 
 1.25000000e-06  8.30899996e-01  8.25425468e-01  1.00197266e+00  1.01439132e+00  4.99999012e-01 
 1.27000000e-06  8.25146180e-01  8.31168440e-01  1.00193290e+00  1.01427359e+00  5.00001120e-01 
 1.29000000e-06  8.31464244e-01  8.24839837e-01  1.00197367e+00  1.01439792e+00  4.99998804e-01 
 1.31000000e-06  8.24500826e-01  8.31787985e-01  1.00192672e+00  1.01425742e+00  5.00001355e-01 
 1.33000000e-06  8.32144340e-01  8.24128448e-01  1.00197628e+00  1.01440762e+00  4.99998555e-01 
 1.35000000e-06  8.23716556e-01  8.32534439e-01  1.00192136e+00  1.01424066e+00  5.00001637e-01 
 1.37000000e-06  8.32963425e-01  8.23263561e-01  1.00198090e+00  1.01442107e+00  4.99998258e-01 
 1.39000000e-06  8.22762570e-01  8.33433030e-01  1.00191734e+00  1.01422369e+00  5.00001976e-01 
 1.41000000e-06  8.33948982e-01  8.22210946e-01  1.00198679e+00  1.01443761e+00  4.99997905e-01 
 1.43000000e-06  8.21600780e-01  8.34513681e-01  1.00191437e+00  1.01420611e+00  5.00002381e-01 
 1.45000000e-06  8.35133388e-01  8.20928103e-01  1.00200629e+00  1.01447075e+00  4.99997490e-01 
 1.47000000e-06  8.20184086e-01  8.35811572e-01  1.00192960e+00  1.01420635e+00  5.00002862e-01 
 1.49000000e-06  8.36554974e-01  8.19362660e-01  1.00203744e+00  1.01451852e+00  4.99997009e-01 
 1.51000000e-06  8.18453359e-01  8.37368016e-01  1.00195769e+00  1.01421807e+00  5.00003427e-01 
 1.53000000e-06  8.38258402e-01  8.17448262e-01  1.00208879e+00  1.01459054e+00  4.99996465e-01 
 1.55000000e-06  8.16334580e-01  8.39231505e-01  1.00201738e+00  1.01426218e+00  5.00004076e-01 
 1.57000000e-06  8.40295664e-01  8.15101364e-01  1.00217503e+00  1.01470138e+00  4.99995877e-01 
 1.59000000e-06  8.13733573e-01  8.41457750e-01  1.00213846e+00  1.01437199e+00  5.00004796e-01 
 1.61000000e-06  8.42726911e-01  8.12216192e-01  1.00232783e+00  1.01488517e+00  4.99995303e-01 
 1.63000000e-06  8.10529791e-01  8.44110910e-01  1.00235688e+00  1.01458643e+00  5.00005539e-01 
 1.65000000e-06  8.45620545e-01  8.08655246e-01  1.00258716e+00  1.01518370e+00  4.99994896e-01 
 1.67000000e-06  8.06566786e-01  8.47263994e-01  1.00272456e+00  1.01496385e+00  5.00006166e-01 
 1.69000000e-06  8.49053704e-01  8.04239021e-01  1.00301845e+00  1.01566507e+00  4.99995106e-01 
 1.71000000e-06  8.01637788e-01  8.50998715e-01  1.00332560e+00  1.01559803e+00  5.00006339e-01 
 1.73000000e-06  8.53112617e-01  7.98728328e-01  1.00368027e+00  1.01638877e+00  4.99998048e-01 
 1.75000000e-06  7.95463754e-01  8.55405010e-01  1.00417712e+00  1.01650835e+00  5.00005992e-01 
 1.77000000e-06  8.57891588e-01  7.91795317e-01  1.00462628e+00  1.01741264e+00  5.00017245e-01 
 1.79000000e-06  7.87655880e-01  8.60580964e-01  1.00536382e+00  1.01778789e+00  4.99985541e-01 
 1.81000000e-06  8.63490395e-01  7.82976283e-01  1.00582318e+00  1.01869233e+00  5.00057572e-01 
 1.83000000e-06  7.77660280e-01  8.66627025e-01  1.00679442e+00  1.01934507e+00  4.99938915e-01 
 1.85000000e-06  8.69981987e-01  7.71601371e-01  1.00720808e+00  1.02014966e+00  5.00137444e-01 
 1.87000000e-06  7.64665325e-01  8.73600650e-01  1.00835484e+00  1.02106201e+00  5.00139247e-01 
 1.89000000e-06  8.77513590e-01  7.56677186e-01  1.00863512e+00  1.02164090e+00  5.00317605e-01 
 1.91000000e-06  7.47430943e-01  8.81690074e-01  1.00981922e+00  1.02268830e+00  4.99762867e-01 
 1.93000000e-06  8.86099351e-01  7.36625958e-01  1.00999128e+00  1.02303682e+00  5.00438215e-01 
 1.95000000e-06  7.23949025e-01  8.90752370e-01  1.01112648e+00  1.02415758e+00  4.99702114e-01 
 1.97000000e-06  8.95638931e-01  7.08971268e-01  1.01127357e+00  1.02434361e+00  5.00539047e-01 
 1.99000000e-06  6.91163214e-01  9.00714693e-01  1.01226224e+00  1.02544631e+00  4.99589992e-01 
 2.00000000e-06  9.11468870e-01  6.46426230e-01  1.01236205e+00  1.02541083e+00  5.00612837e-01 
 2.00029257e-06  9.46029399e-01  3.57418356e-01  1.00714173e+00  1.02646934e+00  5.00565213e-01 
 2.00087771e-06  1.28791142e+00  2.76473005e-02  1.01224698e+00  1.02674875e+00  5.00347518e-01 
 2.00145232e-06  1.54312797e+00 -2.41672671e-03  1.02138954e+00  1.02602012e+00  5.00195998e-01 
 2.00199718e-06  1.66447726e+00  2.92412128e-03  1.01914270e+00  1.02311895e+00  5.00147193e-01 
 2.00284167e-06  1.75916288e+00 -1.77284252e-03  1.00926084e+00  1.01827914e+00  5.00055800e-01 
 2.00419717e-06  1.79540340e+00  1.42281841e-03  1.00344756e+00  1.01858652e+00  5.00021610e-01 
 2.00546059e-06  1.80217951e+00 -1.15194110e-03  1.00528765e+00  1.01800964e+00  4.99985176e-01 
 2.00782186e-06  1.79780496e+00  1.02565240e-03  1.00525407e+00  1.01565184e+00  4.99988199e-01 
 2.01063312e-06  1.80223272e+00 -9.31205725e-04  1.00196157e+00  1.01378256e+00  4.99966968e-01 
 2.01625564e-06  1.79784221e+00  8.88413579e-04  9.99155954e-01  1.01011120e+00  4.99973465e-01 
 2.02750067e-06  1.80219950e+00 -8.67222494e-04  9.94047715e-01  1.00556012e+00  4.99893484e-01 
 2.04750067e-06  1.79784816e+00  8.55822916e-04  9.90358338e-01  1.00122875e+00  4.99803729e-01 
 2.06750067e-06  1.79441300e+00 -4.05773790e-04  9.88860643e-01  1.00010707e+00  4.99820216e-01 
 2.06982464e-06  1.79199684e+00  2.15110179e-05  9.88873560e-01  9.99908707e-01  4.99817264e-01 
 2.07447258e-06  1.79205359e+00 -1.01984267e-05  9.88686543e-01  9.99675205e-01  4.99797121e-01 
 2.08376847e-06  1.79201424e+00  7.43849768e-06  9.88309198e-01  9.99295583e-01  4.99756295e-01 
 2.09230521e-06  1.79201478e+00 -4.32468496e-06  9.88050309e-01  9.98997468e-01  4.99719227e-01 
 2.10000000e-06  1.79199630e+00  2.49854628e-06  9.87832750e-01  9.98783324e-01  4.99685476e-01 
 2.10170735e-06  1.79199114e+00  2.09240400e-06  9.87666177e-01  9.98744591e-01  4.99685585e-01 
 2.10512204e-06  1.79198922e+00 -9.20710067e-07  9.87426004e-01  9.98675100e-01  4.99685614e-01 
 2.11195144e-06  1.79197569e+00  1.11843731e-06  9.87349648e-01  9.98553699e-01  4.99685662e-01 
 2.12561022e-06  1.79195619e+00 -5.60268544e-07  9.87167705e-01  9.98362859e-01  4.99685762e-01 
 2.14561022e-06  1.79192284e+00  9.45349025e-07  9.86987412e-01  9.98177750e-01  4.99685903e-01 
 2.16561022e-06  1.79189353e+00 -4.28897517e-07  9.86897593e-01  9.98065876e-01  4.99686049e-01 
 2.18561022e-06  1.79186083e+00  8.26291043e-07  9.86816791e-01  9.97999014e-01  4.99686190e-01 
 2.20561022e-06  1.79183148e+00 -3.16437035e-07  9.86801571e-01  9.97958320e-01  4.99686336e-01 
 2.22561022e-06  1.79179915e+00  7.22326753e-07  9.86755634e-01  9.97934251e-01  4.99686477e-01 
 2.24561022e-06  1.79176969e+00 -2.19107312e-07  9.86767543e-01  9.97919342e-01  4.99686623e-01 
 2.26561022e-06  1.79173763e+00  6.31922112e-07  9.86734909e-01  9.97910760e-01  4.99686765e-01 
 2.28561022e-06  1.79170800e+00 -1.34741058e-07  9.86755355e-01  9.97905198e-01  4.99686911e-01 
 2.30561022e-06  1.79167615e+00  5.53399846e-07  9.86729264e-01  9.97902213e-01  4.99687052e-01 
 2.32561022e-06  1.79164639e+00 -6.15946872e-08  9.86750777e-01  9.97900046e-01  4.99687198e-01 
 2.34561022e-06  1.79161472e+00  4.85268477e-07  9.86729265e-01  9.97899078e-01  4.99687339e-01 
 2.36561022e-06  1.79158482e+00  1.78645066e-09  9.86748857e-01  9.97898148e-01  4.99687485e-01 
 2.38561022e-06  1.79155329e+00  4.26221944e-07  9.86731330e-01  9.97897904e-01  4.99687626e-01 
 2.40561022e-06  1.79152327e+00  5.66469186e-08  9.86747941e-01  9.97897430e-01  4.99687772e-01 
 2.42561022e-06  1.79149187e+00  3.75121883e-07  9.86734062e-01  9.97897439e-01  4.99687913e-01 
 2.44561022e-06  1.79146174e+00  1.04059733e-07  9.86747496e-01  9.97897137e-01  4.99688059e-01 
 2.46561022e-06  1.79143046e+00  3.30978348e-07  9.86736898e-01  9.97897231e-01  4.99688200e-01 
 2.48561022e-06  1.79140026e+00  1.44955329e-07  9.86747373e-01  9.97896999e-01  4.99688346e-01 
 2.50561022e-06  1.79136908e+00  2.92915019e-07  9.86739616e-01  9.97897117e-01  4.99688487e-01 
 2.52561022e-06  1.79133881e+00  1.80158355e-07  9.86747521e-01  9.97896916e-01  4.99688633e-01 
 2.54561022e-06  1.79130773e+00  2.60174457e-07  9.86742134e-01  9.97897037e-01  4.99688775e-01 
 2.56561022e-06  1.79127740e+00  2.10384595e-07  9.86747919e-01  9.97896853e-01  4.99688921e-01 
 2.58561022e-06  1.79124641e+00  2.32076345e-07  9.86744432e-01  9.97896969e-01  4.99689062e-01 
 2.60000000e-06  1.79122461e+00  2.40890193e-07  9.86748213e-01  9.97896806e-01  4.99689167e-01 
 2.60200000e-06  1.79122128e+00  2.00346843e-07  9.86747448e-01  9.97896839e-01  4.99689170e-01 
 2.60600000e-06  1.79121510e+00  2.46656628e-07  9.86746795e-01  9.97896842e-01  4.99689199e-01 
 2.61400000e-06  1.79120308e+00  2.12065822e-07  9.86747434e-01  9.97896863e-01  4.99689268e-01 
 2.63000000e-06  1.79119972e+00  2.44141222e-07  9.86751645e-01  9.97901189e-01  4.99690736e-01 
 2.65000000e-06  1.79346102e+00  4.73562097e-07  9.87097785e-01  9.98289114e-01  4.99831720e-01 
 2.67000000e-06  1.80019289e+00 -3.11725880e-05  7.94969661e-01  7.67886335e-01  7.28966993e-01 
 2.68409130e-06  1.79999292e+00  3.31917439e-05  7.50499332e-01  7.34129399e-01  7.62818365e-01 
 2.69704550e-06  1.79998553e+00 -3.77584905e-05  7.85599552e-01  7.60154226e-01  7.36744805e-01 
 2.70000000e-06  1.79997714e+00  4.09749976e-05  7.69055493e-01  7.45215450e-01  7.51715059e-01 
 2.70165691e-06  1.80000697e+00  1.97577007e-06  7.68375329e-01  7.47397491e-01  7.49523014e-01 
 2.70497072e-06  1.80000577e+00 -1.07493743e-06  7.69758281e-01  7.48828022e-01  7.48092192e-01 
 2.71159835e-06  1.79999929e+00  1.58244362e-06  7.70737771e-01  7.48237272e-01  7.48684857e-01 
 2.72485361e-06  1.80000048e+00 -1.09767784e-06  7.69571036e-01  7.48636748e-01  7.48285814e-01 
 2.74485361e-06  1.79999848e+00  1.52689168e-06  7.70694456e-01  7.48312172e-01  7.48613171e-01 
 2.76485361e-06  1.80000078e+00 -1.07809672e-06  7.69639680e-01  7.48589390e-01  7.48337156e-01 
 2.78485361e-06  1.79999862e+00  1.52808165e-06  7.70613234e-01  7.48356115e-01  7.48573102e-01 
 2.80485361e-06  1.80000078e+00 -1.08121286e-06  7.69734922e-01  7.48556577e-01  7.48373915e-01 
 2.82485361e-06  1.79999869e+00  1.54002541e-06  7.70516086e-01  7.48387999e-01  7.48545067e-01 
 2.84485361e-06  1.80000070e+00 -1.09721266e-06  7.69835307e-01  7.48533353e-01  7.48401075e-01 
 2.86485361e-06  1.79999877e+00  1.55885659e-06  7.70422631e-01  7.48411615e-01  7.48525304e-01 
 2.88485361e-06  1.80000063e+00 -1.11725514e-06  7.69926768e-01  7.48517077e-01  7.48421280e-01 
 2.90485361e-06  1.79999883e+00  1.57903022e-06  7.70341932e-01  7.48429248e-01  7.48511532e-01 
 2.92485361e-06  1.80000057e+00 -1.13644769e-06  7.70003188e-01  7.48505832e-01  7.48436449e-01 
 2.94485361e-06  1.79999889e+00  1.59653116e-06  7.70277574e-01  7.48442550e-01  7.48502101e-01 
