 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.76824595e-01  1.13485631e-05  2.76824595e-01  5.15346224e-06  2.76824595e-01  2.93534302e-01 
 2.76819546e-01  1.13485643e-05  2.76819546e-01  5.35674738e-06  2.76819546e-01  2.93527832e-01 
 2.76818360e-01  1.13485654e-05  2.76818360e-01  5.40416241e-06  2.76818360e-01  2.93521862e-01 
 2.76815241e-01  1.13485665e-05  2.76815241e-01  5.52814461e-06  2.76815241e-01  2.93515759e-01 
 2.76815944e-01  1.13485675e-05  2.76815944e-01  5.50027541e-06  2.76815944e-01  2.93509962e-01 
 2.76811850e-01  1.13485686e-05  2.76811850e-01  5.66190049e-06  2.76811850e-01  2.93503934e-01 
 2.76811583e-01  1.13485696e-05  2.76811583e-01  5.67234768e-06  2.76811583e-01  2.93498183e-01 
 2.76809391e-01  1.13485707e-05  2.76809391e-01  5.75816011e-06  2.76809391e-01  2.93492375e-01 
 2.76811064e-01  1.13485718e-05  2.76811064e-01  5.69271425e-06  2.76811064e-01  2.93486045e-01 
 2.76805190e-01  1.13485728e-05  2.76805190e-01  5.92127771e-06  2.76805190e-01  2.93480315e-01 
 2.76803162e-01  1.13485738e-05  2.76803162e-01  5.99939333e-06  2.76803162e-01  2.93474701e-01 
 2.76799225e-01  1.13485749e-05  2.76799225e-01  6.14992438e-06  2.76799225e-01  2.93469166e-01 
 2.76799055e-01  1.13485759e-05  2.76799055e-01  6.15640660e-06  2.76799055e-01  2.93463582e-01 
 2.76794170e-01  1.13485768e-05  2.76794170e-01  6.34094881e-06  2.76794170e-01  2.93458243e-01 
 2.76793049e-01  1.13485778e-05  2.76793049e-01  6.38298309e-06  2.76793049e-01  2.93452839e-01 
 2.76790041e-01  1.13485788e-05  2.76790041e-01  6.49515686e-06  2.76790041e-01  2.93447575e-01 
 2.76790760e-01  1.13485797e-05  2.76790760e-01  6.46840186e-06  2.76790760e-01  2.93442094e-01 
 2.76785397e-01  1.13485807e-05  2.76785397e-01  6.66654644e-06  2.76785397e-01  2.93437150e-01 
 2.76783771e-01  1.13485816e-05  2.76783771e-01  6.72608117e-06  2.76783771e-01  2.93431979e-01 
 2.76780278e-01  1.13485826e-05  2.76780278e-01  6.85305931e-06  2.76780278e-01  2.93427041e-01 
 2.76780465e-01  1.13485834e-05  2.76780465e-01  6.84627899e-06  2.76780465e-01  2.93421719e-01 
 2.76776033e-01  1.13485843e-05  2.76776033e-01  7.00571822e-06  2.76776033e-01  2.93417037e-01 
 2.76775285e-01  1.13485852e-05  2.76775285e-01  7.03244544e-06  2.76775285e-01  2.93411954e-01 
 2.76772682e-01  1.13485860e-05  2.76772682e-01  7.12497818e-06  2.76772682e-01  2.93407162e-01 
 2.76773730e-01  1.13485871e-05  2.76773730e-01  7.08778433e-06  2.76773730e-01  2.93401576e-01 
 2.76768113e-01  1.13485878e-05  2.76768113e-01  7.28577807e-06  2.76768113e-01  2.93397412e-01 
 2.76766179e-01  1.13485887e-05  2.76766179e-01  7.35323869e-06  2.76766179e-01  2.93392700e-01 
 2.76762408e-01  1.13485895e-05  2.76762408e-01  7.48367101e-06  2.76762408e-01  2.93388381e-01 
 2.76762252e-01  1.13485904e-05  2.76762252e-01  7.48904316e-06  2.76762252e-01  2.93383381e-01 
 2.76757562e-01  1.13485911e-05  2.76757562e-01  7.64920944e-06  2.76757562e-01  2.93379401e-01 
 2.76756487e-01  1.13485920e-05  2.76756487e-01  7.68561887e-06  2.76756487e-01  2.93374726e-01 
 2.76753593e-01  1.13485927e-05  2.76753593e-01  7.78305973e-06  2.76753593e-01  2.93370495e-01 
 2.76754287e-01  1.13485936e-05  2.76754287e-01  7.75975857e-06  2.76754287e-01  2.93365441e-01 
 2.76749116e-01  1.13485942e-05  2.76749116e-01  7.93213418e-06  2.76749116e-01  2.93361901e-01 
 2.76747544e-01  1.13485951e-05  2.76747544e-01  7.98401616e-06  2.76747544e-01  2.93357524e-01 
 2.76744166e-01  1.13485957e-05  2.76744166e-01  8.09463480e-06  2.76744166e-01  2.93353674e-01 
 2.76744341e-01  1.13485966e-05  2.76744341e-01  8.08893697e-06  2.76744341e-01  2.93348856e-01 
 2.76740048e-01  1.13485972e-05  2.76740048e-01  8.22795979e-06  2.76740048e-01  2.93345399e-01 
 2.76739314e-01  1.13485980e-05  2.76739314e-01  8.25155013e-06  2.76739314e-01  2.93340957e-01 
 2.76736782e-01  1.13485987e-05  2.76736782e-01  8.33248406e-06  2.76736782e-01  2.93337095e-01 
 2.76737773e-01  1.13485991e-05  2.76737773e-01  8.30088669e-06  2.76737773e-01  2.93335047e-01 
 2.76731979e-01  1.13485996e-05  2.76731979e-01  8.48431124e-06  2.76731979e-01  2.93332378e-01 
 2.76729752e-01  1.13486004e-05  2.76729752e-01  8.55391640e-06  2.76729752e-01  2.93328596e-01 
