 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.74602568e-01  1.02757244e-05  2.74602568e-01  4.90234606e-06  2.74602568e-01  2.89966709e-01 
 2.74600683e-01  1.02757244e-05  2.74600683e-01  4.98015824e-06  2.74600683e-01  2.89966527e-01 
 2.74598802e-01  1.02757244e-05  2.74598802e-01  5.05742268e-06  2.74598802e-01  2.89966401e-01 
 2.74596922e-01  1.02757244e-05  2.74596922e-01  5.13427620e-06  2.74596922e-01  2.89966329e-01 
 2.74594976e-01  1.02757244e-05  2.74594976e-01  5.21343148e-06  2.74594976e-01  2.89966212e-01 
 2.74593109e-01  1.02757244e-05  2.74593109e-01  5.28900689e-06  2.74593109e-01  2.89966249e-01 
 2.74591153e-01  1.02757244e-05  2.74591153e-01  5.36779525e-06  2.74591153e-01  2.89966338e-01 
 2.74589230e-01  1.02757244e-05  2.74589230e-01  5.44490847e-06  2.74589230e-01  2.89966483e-01 
 2.74587157e-01  1.02757246e-05  2.74587157e-01  5.52757847e-06  2.74587157e-01  2.89961853e-01 
 2.74585368e-01  1.02757246e-05  2.74585368e-01  5.59856421e-06  2.74585368e-01  2.89962106e-01 
 2.74583422e-01  1.02757246e-05  2.74583422e-01  5.67540827e-06  2.74583422e-01  2.89962413e-01 
 2.74581570e-01  1.02757246e-05  2.74581570e-01  5.74817647e-06  2.74581570e-01  2.89962771e-01 
 2.74579482e-01  1.02757246e-05  2.74579482e-01  5.82976070e-06  2.74579482e-01  2.89963097e-01 
 2.74577703e-01  1.02757245e-05  2.74577703e-01  5.89895374e-06  2.74577703e-01  2.89963556e-01 
 2.74575671e-01  1.02757245e-05  2.74575671e-01  5.97755955e-06  2.74575671e-01  2.89964082e-01 
 2.74573766e-01  1.02757245e-05  2.74573766e-01  6.05089878e-06  2.74573766e-01  2.89964654e-01 
 2.74571538e-01  1.02757245e-05  2.74571538e-01  6.13613534e-06  2.74571538e-01  2.89965330e-01 
 2.74569834e-01  1.02757244e-05  2.74569834e-01  6.20100218e-06  2.74569834e-01  2.89965988e-01 
 2.74567793e-01  1.02757244e-05  2.74567793e-01  6.27831102e-06  2.74567793e-01  2.89966731e-01 
 2.74565928e-01  1.02757244e-05  2.74565928e-01  6.34857282e-06  2.74565928e-01  2.89967507e-01 
 2.74563647e-01  1.02757243e-05  2.74563647e-01  6.43399135e-06  2.74563647e-01  2.89968296e-01 
 2.74561889e-01  1.02757243e-05  2.74561889e-01  6.49947943e-06  2.74561889e-01  2.89969160e-01 
 2.74559691e-01  1.02757242e-05  2.74559691e-01  6.58088167e-06  2.74559691e-01  2.89970141e-01 
 2.74557704e-01  1.02757242e-05  2.74557704e-01  6.65404367e-06  2.74557704e-01  2.89971144e-01 
 2.74555176e-01  1.02757241e-05  2.74555176e-01  6.74654292e-06  2.74555176e-01  2.89972797e-01 
 2.74553598e-01  1.02757240e-05  2.74553598e-01  6.80393948e-06  2.74553598e-01  2.89973831e-01 
 2.74551494e-01  1.02757240e-05  2.74551494e-01  6.88008522e-06  2.74551494e-01  2.89975014e-01 
 2.74549663e-01  1.02757239e-05  2.74549663e-01  6.94593232e-06  2.74549663e-01  2.89976193e-01 
 2.74547225e-01  1.02757239e-05  2.74547225e-01  7.03312462e-06  2.74547225e-01  2.89977465e-01 
 2.74545555e-01  1.02757238e-05  2.74545555e-01  7.09246621e-06  2.74545555e-01  2.89978707e-01 
 2.74543254e-01  1.02757238e-05  2.74543254e-01  7.17377588e-06  2.74543254e-01  2.89980147e-01 
 2.74541264e-01  1.02757237e-05  2.74541264e-01  7.24367083e-06  2.74541264e-01  2.89981567e-01 
 2.74538558e-01  1.02757236e-05  2.74538558e-01  7.33802739e-06  2.74538558e-01  2.89983250e-01 
 2.74537005e-01  1.02757235e-05  2.74537005e-01  7.39181452e-06  2.74537005e-01  2.89984656e-01 
 2.74534720e-01  1.02757235e-05  2.74534720e-01  7.47055977e-06  2.74534720e-01  2.89986311e-01 
 2.74532804e-01  1.02757234e-05  2.74532804e-01  7.53615028e-06  2.74532804e-01  2.89987916e-01 
 2.74530066e-01  1.02757233e-05  2.74530066e-01  7.62921231e-06  2.74530066e-01  2.89989726e-01 
 2.74528352e-01  1.02757232e-05  2.74528352e-01  7.68707769e-06  2.74528352e-01  2.89991368e-01 
 2.74525782e-01  1.02757231e-05  2.74525782e-01  7.77325059e-06  2.74525782e-01  2.89993332e-01 
 2.74523625e-01  1.02757230e-05  2.74523625e-01  7.84508441e-06  2.74523625e-01  2.89995220e-01 
 2.74520552e-01  1.02757229e-05  2.74520552e-01  7.94657608e-06  2.74520552e-01  2.89998849e-01 
 2.74519237e-01  1.02757229e-05  2.74519237e-01  7.98967525e-06  2.74519237e-01  2.90000551e-01 
 2.74516962e-01  1.02757227e-05  2.74516962e-01  8.06387411e-06  2.74516962e-01  2.90002634e-01 
 2.74515180e-01  1.02757226e-05  2.74515180e-01  8.12161344e-06  2.74515180e-01  2.90004590e-01 
 2.74512347e-01  1.02757225e-05  2.74512347e-01  8.21272744e-06  2.74512347e-01  2.90006904e-01 
 2.74510840e-01  1.02757224e-05  2.74510840e-01  8.26087196e-06  2.74510840e-01  2.90008848e-01 
 2.74508255e-01  1.02757223e-05  2.74508255e-01  8.34288590e-06  2.74508255e-01  2.90011262e-01 
 2.74506204e-01  1.02757222e-05  2.74506204e-01  8.40745184e-06  2.74506204e-01  2.90013517e-01 
 2.74502976e-01  1.02757221e-05  2.74502976e-01  8.50823573e-06  2.74502976e-01  2.90016338e-01 
 2.74501655e-01  1.02757220e-05  2.74501655e-01  8.54917699e-06  2.74501655e-01  2.90018388e-01 
 2.74499134e-01  1.02757219e-05  2.74499134e-01  8.62678139e-06  2.74499134e-01  2.90020995e-01 
 2.74497218e-01  1.02757218e-05  2.74497218e-01  8.68534629e-06  2.74497218e-01  2.90023392e-01 
 2.74494001e-01  1.02757216e-05  2.74494001e-01  8.78283788e-06  2.74494001e-01  2.90026337e-01 
 2.74492409e-01  1.02757216e-05  2.74492409e-01  8.83067850e-06  2.74492409e-01  2.90028683e-01 
 2.74489476e-01  1.02757214e-05  2.74489476e-01  8.91816624e-06  2.74489476e-01  2.90031701e-01 
 2.74487197e-01  1.02757212e-05  2.74487197e-01  8.98553010e-06  2.74487197e-01  2.90034469e-01 
 2.74483415e-01  1.02757211e-05  2.74483415e-01  9.09618903e-06  2.74483415e-01  2.90038539e-01 
 2.74482302e-01  1.02757210e-05  2.74482302e-01  9.12846499e-06  2.74482302e-01  2.90040843e-01 
 2.74479709e-01  1.02757208e-05  2.74479709e-01  9.20322035e-06  2.74479709e-01  2.90043924e-01 
 2.74477865e-01  1.02757207e-05  2.74477865e-01  9.25596657e-06  2.74477865e-01  2.90046679e-01 
 2.74474433e-01  1.02757205e-05  2.74474433e-01  9.35322544e-06  2.74474433e-01  2.90050219e-01 
 2.74472992e-01  1.02757204e-05  2.74472992e-01  9.39370361e-06  2.74472992e-01  2.90052855e-01 
 2.74469923e-01  1.02757202e-05  2.74469923e-01  9.47924240e-06  2.74469923e-01  2.90056404e-01 
 2.74467656e-01  1.02757201e-05  2.74467656e-01  9.54181704e-06  2.74467656e-01  2.90059580e-01 
 2.74463624e-01  1.02757199e-05  2.74463624e-01  9.65187370e-06  2.74463624e-01  2.90063805e-01 
 2.74462439e-01  1.02757198e-05  2.74462439e-01  9.68391887e-06  2.74462439e-01  2.90066485e-01 
 2.74459460e-01  1.02757196e-05  2.74459460e-01  9.76386294e-06  2.74459460e-01  2.90070217e-01 
 2.74457377e-01  1.02757194e-05  2.74457377e-01  9.81924212e-06  2.74457377e-01  2.90073494e-01 
 2.74453368e-01  1.02757193e-05  2.74453368e-01  9.92466589e-06  2.74453368e-01  2.90077854e-01 
 2.74451756e-01  1.02757191e-05  2.74451756e-01  9.96660314e-06  2.74451756e-01  2.90080956e-01 
 2.74448155e-01  1.02757189e-05  2.74448155e-01  1.00594035e-05  2.74448155e-01  2.90085286e-01 
 2.74445520e-01  1.02757187e-05  2.74445520e-01  1.01265337e-05  2.74445520e-01  2.90089103e-01 
